"rid","proc1","proc2","proc3","proc4","proc5","w1commitnum","w1commithrs","w1commitoverw","w1freetime","gendermale","genderfemal","gendernonbinary","gendernoid"
166787905,3,2,3,2,2,10,50,2,3,0,1,0,0
166791226,4,3,3,4,4,5,30,3,2,1,1,0,0
166793650,3,2,4,3,3,10,35,3,3,1,0,0,0
166794534,4,3,3,2,2,7,8,4,3,0,1,0,0
166794760,2,2,4,2,2,3,20,4,2,0,1,0,0
166795049,4,4,4,4,4,5,36,3,3,0,1,0,0
166795957,5,4,4,3,5,3,55,3,3,0,1,0,0
166796086,2,2,4,2,2,3,5,2,3,0,1,0,0
166798037,4,4,5,3,4,6,30,4,2,0,1,0,0
166798532,4,3,3,4,4,6,16,4,2,0,1,0,0
166803146,4,2,4,3,1,12,49,4,2,0,1,0,0
166820069,2,4,5,3,3,2,16,3,4,0,1,0,0
166820823,4,4,4,3,3,3,2,3,3,0,1,0,0
166820880,4,3,4,4,4,4,25,3,3,1,0,0,0
166829627,3,3,3,3,3,2,9,3,3,1,0,0,0
166830877,2,4,4,2,2,3,20,3,2,0,1,0,0
166832658,4,4,4,3,3,1,30,3,3,0,1,0,0
166833261,2,3,4,2,3,11,24,2,2,1,0,0,0
166838981,3,2,5,4,4,5,30,4,2,0,1,0,0
166839964,4,4,4,4,4,5,20,4,2,0,1,0,0
166839971,2,3,2,2,3,10,25,3,3,0,1,0,0
166839973,5,5,5,5,5,6,3,4,3,0,1,0,0
166839975,4,3,3,4,3,4,9,1,3,0,1,0,0
166839977,4,3,3,4,3,11,42,3,4,0,1,0,0
166839978,4,4,4,3,3,3,18,3,2,0,1,0,0
166839982,3,4,4,4,3,8,64,4,2,0,1,0,0
166839987,1,2,2,2,3,5,34,4,3,1,0,0,0
166840015,3,2,2,2,1,4,50,3,3,0,1,0,0
166840028,4,4,4,4,3,3,50,3,3,0,1,0,0
166840080,4,5,4,4,4,6,25,4,2,1,0,0,0
166840527,5,4,5,5,2,4,35,4,3,0,1,0,0
166840589,4,4,4,4,4,3,30,4,3,0,1,0,0
166841017,3,3,4,3,2,10,38,3,3,0,1,0,0
166841032,3,1,4,2,3,5,60,3,2,0,1,0,0
166841288,4,1,4,5,3,3,24,3,3,0,1,0,0
166841469,4,5,4,4,2,4,20,4,3,0,1,0,0
166841706,4,4,5,3,3,7,45,4,2,0,1,0,0
166842057,4,2,4,3,2,3,10,3,4,0,1,0,0
166843609,2,5,5,5,2,5,10,2,4,0,1,0,0
166843964,2,2,4,2,2,0,0,2,2,0,1,0,0
166844353,3,2,2,2,1,2,40,3,2,0,1,0,0
166844355,2,2,3,3,2,4,30,3,3,0,1,0,0
166844788,3,4,5,3,3,5,20,4,2,0,1,0,0
166845048,3,3,3,3,2,4,22,3,3,0,1,0,0
166845182,3,3,3,3,3,4,40,3,2,0,1,0,0
166845949,4,2,4,2,3,9,43,4,2,0,1,0,0
166846076,4,3,4,3,4,4,30,5,2,0,1,0,0
166846238,4,5,5,4,5,2,20,4,2,0,1,0,0
166846557,4,4,4,4,2,4,26,3,3,0,1,0,0
166846599,4,4,5,3,4,5,35,4,3,0,1,0,0
166846885,4,4,5,2,2,7,50,3,4,0,1,0,0
166847264,4,4,5,4,4,5,35,4,2,1,0,0,0
166847425,3,3,4,4,4,2,16,3,3,0,1,0,0
166847459,3,3,2,2,2,8,25,2,4,0,1,0,0
