rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166857633,4.0,5.0,5.0,3.0,5.0,5.0,35.0,3.0,3.0,5.0,6.0,4.0,0.0,1.0,22.0,Female
166858042,4.0,4.0,4.0,3.0,4.0,10.0,50.0,3.0,3.0,5.0,6.0,1.0,0.0,1.0,19.0,Female
166858366,5.0,3.0,4.0,4.0,4.0,4.0,55.0,3.0,2.0,6.0,7.0,1.0,0.0,1.0,20.0,Female
166859737,5.0,5.0,5.0,5.0,5.0,4.0,41.0,4.0,3.0,7.0,7.0,5.0,0.0,1.0,25.0,Female
166859844,4.0,5.0,5.0,4.0,4.0,1.0,25.0,3.0,3.0,5.0,4.0,7.0,0.0,1.0,22.0,Female
166859903,4.0,4.0,3.0,2.0,3.0,2.0,24.0,4.0,2.0,5.0,4.0,5.0,0.0,1.0,16.0,Female
166860023,3.0,5.0,2.0,3.0,4.0,11.0,38.0,2.0,3.0,4.0,6.0,4.0,1.0,0.0,17.0,Male
166860115,1.0,2.0,1.0,3.0,2.0,3.0,40.0,3.0,3.0,4.0,7.0,5.0,0.0,1.0,9.0,Female
166860822,4.0,3.0,4.0,2.0,4.0,4.0,6.0,3.0,3.0,4.0,6.0,5.0,1.0,0.0,17.0,Male
166861013,4.0,3.0,4.0,3.0,2.0,5.0,28.0,3.0,2.0,4.0,7.0,2.0,0.0,1.0,16.0,Female
166902671,4.0,3.0,5.0,4.0,3.0,8.0,36.0,3.0,3.0,6.0,7.0,4.0,0.0,1.0,19.0,Female
166907938,2.0,1.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,6.0,2.0,0.0,1.0,11.0,Female
166920488,2.0,2.0,4.0,2.0,2.0,5.0,10.0,4.0,2.0,7.0,7.0,3.0,0.0,1.0,12.0,Female
166925823,4.0,4.0,3.0,5.0,4.0,5.0,57.0,3.0,2.0,7.0,7.0,4.0,0.0,1.0,20.0,Female
166926579,2.0,2.0,3.0,2.0,2.0,2.0,40.0,1.0,3.0,4.0,6.0,4.0,0.0,1.0,11.0,Female
166927105,4.0,4.0,4.0,3.0,4.0,3.0,16.0,5.0,3.0,6.0,7.0,4.0,0.0,1.0,19.0,Female
166929097,2.0,5.0,3.0,3.0,3.0,6.0,40.0,4.0,2.0,4.0,5.0,5.0,0.0,1.0,16.0,Female
166932287,3.0,4.0,4.0,2.0,2.0,2.0,20.0,3.0,3.0,6.0,6.0,5.0,0.0,1.0,15.0,Female
166937700,3.0,1.0,4.0,4.0,1.0,5.0,10.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0,13.0,Male
166941397,4.0,3.0,4.0,2.0,4.0,7.0,59.0,4.0,2.0,7.0,7.0,5.0,0.0,1.0,17.0,Female
166941617,2.0,4.0,4.0,2.0,4.0,7.0,25.0,4.0,3.0,5.0,5.0,5.0,0.0,1.0,16.0,Female
166957050,3.0,3.0,3.0,3.0,3.0,10.0,46.0,3.0,2.0,1.0,6.0,3.0,0.0,1.0,15.0,Female
166979631,3.0,4.0,4.0,3.0,4.0,1.0,20.0,3.0,3.0,6.0,6.0,5.0,0.0,1.0,18.0,Female
166980301,2.0,2.0,4.0,2.0,2.0,2.0,8.0,4.0,2.0,5.0,4.0,5.0,0.0,1.0,12.0,Female
166988774,4.0,4.0,4.0,4.0,3.0,5.0,29.0,3.0,2.0,5.0,4.0,4.0,0.0,1.0,19.0,Female
166989487,3.0,3.0,3.0,3.0,2.0,7.0,40.0,3.0,3.0,4.0,7.0,3.0,0.0,1.0,14.0,Female
166992105,4.0,3.0,4.0,4.0,3.0,9.0,33.0,2.0,2.0,4.0,5.0,3.0,0.0,1.0,18.0,Female
166994864,3.0,3.0,3.0,3.0,3.0,19.0,53.0,5.0,2.0,7.0,7.0,5.0,0.0,1.0,15.0,Female
167037822,1.0,2.0,2.0,2.0,2.0,4.0,14.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,9.0,Male
167123669,3.0,2.0,3.0,1.0,2.0,8.0,50.0,4.0,2.0,6.0,7.0,3.0,0.0,1.0,11.0,Female
167133364,2.0,1.0,2.0,2.0,3.0,10.0,20.0,2.0,3.0,5.0,4.0,4.0,0.0,1.0,10.0,Female
